# schema=range-replay-measurement/v1
# complete=true
# cache_condition=warm_after_one_warmup_per_row
# data_file=/tmp/range-replay-vps.1fRZZs/data-2g.bin
# data_file_bytes=2147483648
# required_data_bytes=805502975
# logical_bytes_per_workload=268435456
# warmups_per_row=1
# measured_repetitions=8
# max_byte_budget_depth=16
# clock_ticks_per_second=100
workload	pattern	backend	submitted_depth	phase	repetition	logical_range_bytes	read_size_bytes	byte_budget_bytes	logical_bytes	physical_bytes	physical_operations	elapsed_ns	user_cpu_ticks	system_cpu_ticks	cpu_ns	throughput_bytes_per_second	output_sha256	bytes_equal_to_pread
sequential_4k	mostly_sequential	io_uring	4	measured	5	4096	4096	65536	268435456	268435456	65536	7446013326	718	26	7440000000	36050896	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	16	measured	5	4096	4096	65536	268435456	268435456	65536	7854125158	758	27	7850000000	34177639	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	1	measured	6	4096	4096	65536	268435456	268435456	65536	7362190720	712	25	7370000000	36461355	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	4	measured	6	4096	4096	65536	268435456	268435456	65536	7361578007	706	30	7360000000	36464390	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	16	measured	6	4096	4096	65536	268435456	268435456	65536	7443308959	720	24	7440000000	36063994	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	pread	1	measured	6	4096	4096	65536	268435456	268435456	65536	15631898632	1535	28	15630000000	17172287	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	4	measured	7	4096	4096	65536	268435456	268435456	65536	7897208682	764	27	7910000000	33991181	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	16	measured	7	4096	4096	65536	268435456	268435456	65536	7336194664	708	25	7330000000	36590557	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	pread	1	measured	7	4096	4096	65536	268435456	268435456	65536	12716208879	1250	21	12710000000	21109707	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	1	measured	7	4096	4096	65536	268435456	268435456	65536	7101715539	685	25	7100000000	37798677	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
